,element,Tc,Tc_mean
10208,Sm1Fe1As1O0.85,54.0,53.4857142857143
10209,Sm1Fe1As1H0.3O0.6,51.4,51.4
10210,Sm1Fe1As1H0.12O0.77,54.2,54.2
10211,Sm1Fe1As1O0.8,40.1,40.1
10212,Ba1Fe1.774Co0.226As2,12.8,12.8
10213,La1Fe1As1H0.6O0.6,35.0,35.0
10214,Ce1Fe1As1H0.6O0.6,45.8,45.8
10215,Pr1Fe1As1H0.6O0.6,49.7,49.7
10216,Dy1Fe1As1O0.7,51.2,45.85
10217,La1Fe1As1O0.7,28.4,28.4
10218,Ce1Fe1As1O0.7,40.2,40.2
10219,Pr1Fe1As1O0.7,48.5,47.0
10220,Nd1Fe1As1O0.7,53.7,53.7
10221,Sm1Fe1As1O0.7,52.1,52.1
10222,Gd1Fe1As1O0.7,53.6,53.6
10223,Tb1Fe1As1O0.7,52.2,39.7666666666667
10224,Fe2As2Ca4Al1.34Ti0.66O6,12.5,12.5
10225,Fe2As2Ca5Al1.5Ti1.5O9,15.0,15.0
10226,Fe2As2Ca6Al1.32Ti2.68O12,36.0,36.0
10227,Fe2As2Ca4Sc2.01Ti0.99O7.5,31.0,31.0
10228,Fe2As2Ca5Sc2Ti2O10,36.0,36.0
10229,Fe2As2Ca4Sc2Ti3O13,36.0,36.0
10230,K1Os2O6,9.62,9.59642857142857
10231,Y1Fe2Si2,2.9,2.9
10232,La1.85Sr0.15Cu0.996Zn0.004O4,32.6,33.825
10233,La1.85Sr0.15Cu0.992Zn0.008O4,27.8,29.375
10234,La1.85Sr0.15Cu0.989Zn0.011O4,23.2,23.2
10235,La1.85Sr0.15Cu0.983Zn0.017O4,16.0,19.4
10236,La1.85Sr0.15Cu0.991Ni0.009O4,30.0,30.0
10237,La1.85Sr0.15Cu0.982Ni0.018O4,22.5,22.5
10238,La1.85Sr0.15Cu0.971Ni0.029O4,11.6,11.6
10239,Sr1Fe1.85Ni0.15As2,9.2,8.93
10240,Ba1Rh2P2,1.0,1.0
10241,Ba1Ir2P2,2.1,2.1
10242,Sr1Ir2As2,2.8,2.8
10243,Nd1Fe1As1F0.11O0.89,48.0,49.05
10244,Nd1Fe0.85Ru0.15As1F0.11O0.89,34.0,34.0
10245,Y1Pd2Al3,2.2,2.2
10246,Li1Rh1B1.5,2.5,2.5
10247,Li1.2Rh1B1.5,2.5,2.5
10248,Fe1Te0.75S0.25,7.28,7.28
10249,Y2Al1Ge3,4.5,4.5
10250,In2Mo6Se6,2.85,2.85
10251,Eu0.5Ca0.5Fe2As2,24.0,24.0
10252,U0.85La0.15Pd2Al3,1.2,1.2
10253,U0.7La0.3Pd2Al3,1.2,1.2
10254,U0.4La0.6Pd2Al3,1.2,1.2
10255,La1Pd2Al3,0.85,0.85
10256,Eu1Fe1.715Co0.285As2,21.0,21.0
10257,Eu0.6Sr0.4Fe1.715Co0.285As2,13.9,13.9
10258,Eu0.7Sr0.3Fe1.715Co0.285As2,10.2,10.2
10259,La1Fe0.985Ru0.015As1F0.11O0.89,27.5,27.5
10260,La1Fe0.97Ru0.03As1F0.11O0.89,25.6,25.6
10261,La1Fe0.85Ru0.15As1F0.11O0.89,23.6,23.6
10262,La1Fe1As1F0.13O0.87,25.4,25.4
10263,La1Fe1As1F0.18O0.82,14.3,14.3
10264,Pr1Os4Sb12,1.86,1.84117647058824
10265,Pr0.9Nd0.1Os4Sb12,1.73,1.73
10266,Pr0.8Nd0.2Os4Sb12,1.61,1.52
10267,Pr0.75Nd0.25Os4Sb12,1.48,1.48
10268,Pr0.7Nd0.3Os4Sb12,1.27,1.27
10269,Pr0.6Nd0.4Os4Sb12,0.89,0.89
10270,Pr0.5Nd0.5Os4Sb12,0.6,0.6
10271,Ca1Pt1Si3,2.3,2.3
10272,Pr1Fe0.925Co0.075As1O1,15.7,15.0333333333333
