,element,Tc,Tc_mean
1359,Y0.8Ca0.2Ba2Cu2.8Zn0.2O6.73,43.0,43.0
1360,Y0.75Ca0.25Ba2Cu2.75Zn0.25O6.76,42.0,42.0
1361,Y0.6Ca0.4Sr1.7Ba0.3Cu2Ga1O7,50.0,50.0
1362,Y0.6Ca0.4Sr1.6Ba0.4Cu2Ga1O7,56.0,56.0
1363,Y0.6Ca0.4Sr1.8Ba0.2Cu2Ga1O7,68.0,56.5
1364,Y0.8Ca0.2Sr1.5Ba0.5Cu2.8Cr0.2O7,28.0,28.0
1365,Y0.7Ca0.3Sr1.5Ba0.5Cu2.8Cr0.2O7,41.0,41.0
1366,Y1Ba2Cu2.8Cr0.2O7,87.5,87.5
1367,Y1Ba2Cu2.79Co0.21O7,22.0,22.0
1368,Y0.8Ca0.2Sr1Ba1Cu2.7Ga0.3O7,64.0,64.0
1369,Y0.8Ca0.2Sr1.6Ba0.4Cu2.7Ga0.3O7,53.9,53.9
1370,Hg0.9W0.1Ba2Cu1O4.2,89.0,89.0
1371,Hg0.6Cr0.4Ba2Cu1O4.1,70.0,70.0
1372,Hg0.8Mo0.2Ba2Cu1O4.4,74.0,74.0
1373,Hg0.9Mo0.1Ba2Cu1O4.2,75.0,75.0
1374,Hg0.8W0.2Ba2Cu1O4.4,45.0,45.0
1375,Hg0.8V0.2Ba2Cu1O4.3,96.0,93.0
1376,Hg0.8V0.2Ba2Ca1Cu2O6.3,128.0,121.75
1377,Hg0.8Mo0.2Ba2Ca1Cu2O6.4,127.0,127.0
1378,Hg0.8W0.2Ba2Ca1Cu2O6.4,118.0,118.0
1379,Hg0.9W0.1Ba2Ca1Cu2O6.2,118.0,118.0
1380,Hg0.8Ti0.2Ba2Ca1Cu2O6.2,127.0,127.0
1381,Hg0.8Cr0.2Ba2Ca1Cu2O6.1,115.0,112.5
1382,Hg0.8V0.2Ba2Ca2Cu3O8.3,127.0,123.5
1383,Hg0.8Mo0.2Ba2Ca2Cu3O8.4,134.0,131.5
1384,Hg0.6Ti0.4Ba2Ca2Cu3O8.4,134.0,131.0
1385,Hg0.8Cr0.2Ba2Ca2Cu3O8.1,110.0,102.5
1386,Y0.95Ba1.95Ca0.1Cu4O8,80.0,80.0
1387,Gd0.95Ba1.95Ca0.1Cu4O8,80.0,80.0
1388,Hg0.9Ba2Cu1O4,73.0,73.0
1389,Hg0.8Bi0.2Ba2Cu1O4.2,85.0,85.0
1390,Hg0.8Bi0.2Ba2Ca2Cu3O8.2,130.0,130.0
1391,Hg0.75Mo0.05Sr2Ca2Cu3O,106.0,106.0
1392,Sr2BaCu1F2O2,46.0,46.0
1393,Sr1.9Ba0.1Cu1F2O2,54.0,54.0
1394,Sr1.75Ba0.25Cu1F2O2,58.0,58.0
1395,Sr1.6Ba0.4Cu1F2O2,60.0,60.0
1396,Sr1.5Ba0.5Cu1F2O2,62.0,62.0
1397,Y0.3Pr0.7Ba1Sr1Cu3O6.95,14.0,14.0
1398,La1.5Ba1Sr0.5Cu3O6.955,26.9,26.9
1399,La1.1Ba1.4Sr0.5Cu3O6.954,50.1,50.1
1400,La1Ba1.5Sr0.5Cu3O6.948,57.1,57.1
1401,La1.2Ba1.3Sr0.5Cu3O6.943,45.1,45.1
1402,La1.3Ba1.7SrCu3O6.885,32.0,32.0
1403,La1.3Ba1.5Sr0.2Cu3O6.901,43.8,43.8
1404,La1.3Ba1.4Sr0.3Cu3O6.91,50.0,50.0
1405,La1.3Ba1.3Sr0.4Cu3O6.928,45.2,45.2
1406,La1.3Ba1.2Sr0.5Cu3O6.955,38.0,38.0
1407,Gd1Ba1Sr1Cu3O7,82.0,82.0
1408,I1Bi2Sr2Ca1Cu2O8,72.2,62.8333333333333
1409,Tl0.67Cr0.33Sr4Cu2C1O10,77.0,77.0
1410,Tl0.8V0.2Sr4Cu2C1O10,50.0,50.0
1411,La1.65Sm0.15Sr0.2Cu1O4,24.0,24.0
1412,La1.5Sm0.3Sr0.2Cu1O4,17.0,17.0
1413,La1.35Sm0.45Sr0.2Cu1O4,12.0,12.0
1414,La1Sm0.8Sr0.2Cu1O4,35.0,35.0
1415,Y1Ba2Cu3.98Fe0.02O8,70.5,70.5
1416,Y1Ba2Cu3.8Fe0.2O8,64.0,64.0
1417,Y1Ba2Cu3.98Co0.02O8,73.3,73.3
1418,Y1Ba2Cu3.84Co0.16O8,54.3,54.3
1419,Y1Ba2Cu3.8Co0.2O8,50.0,50.0
1420,Y1Ba2Cu3.88Zn0.12O8,34.5,30.1
1421,Y1Ba2Cu3.84Zn0.16O8,31.5,31.5
1422,Y1Ba2Cu3.8Zn0.2O8,30.5,30.5
1423,Y1Ba2Cu3.98Ga0.02O8,77.75,77.75
1424,Y1Ba2Cu3.96Ga0.04O8,77.5,77.5
1425,Y1Ba2Cu3.92Ga0.08O8,74.5,74.5
1426,Y1Ba2Cu3.88Ga0.12O8,73.5,73.5
1427,Y1Ba2Cu3.84Ga0.16O8,71.25,71.25
1428,Y1Ba2Cu3.8Ga0.2O8,70.25,70.25
1429,Y0.65Ca0.35Sr2Cu2Ga1O6.99,27.0,27.0
1430,Y0.65Ca0.35Sr2Ga1Cu2O7,27.0,27.0
1431,Pb0.5Sr2Ca1Cu2.5O6.8,115.0,115.0
1432,La1.96Na0.4Cu1O4,31.0,31.0
1433,La1.8K0.2Cu1O4,41.0,41.0
1434,La1.92K0.08Cu1O4,21.0,21.0
1435,Bi2Sr2Ca1Cu2O8.21,90.6,90.6
1436,Bi2Sr2Ca1Cu2I0.03O8.21,86.6,86.6
1437,Bi2Sr2Ca1Cu2I0.1O8.21,83.9,83.9
1438,Bi2Sr2Ca1Cu2I0.25O8.21,71.6,71.6
1439,Bi2Sr2Ca1Cu2I0.43O8.21,63.1,63.1
1440,Bi2Sr2Ca1Cu2I0.61O8.21,56.3,56.3
1441,Bi2Sr2Ca2Cu2I0.86O8.21,50.6,50.6
1442,Bi2Sr2Ca1Cu2I0.98O8.21,49.3,49.3
1443,Bi2Sr2Ca1Cu2O8.242,73.9,73.9
1444,Bi2Sr2Ca1Cu2I0.2O8.242,64.6,64.6
1445,Bi2Sr2Ca1Cu2I0.4O8.242,56.7,56.7
1446,Bi2Sr2Ca1Cu2I0.69O8.242,53.1,53.1
1447,Bi2Sr2Ca1Cu2I0.86O8.242,55.5,55.5
1448,Bi2Sr2Ca1Cu2I1O8.242,53.0,53.0
1449,Y1Ba2Cu2.97Ti0.03O6.92,82.0,82.0
1450,Y1Ba2Cu2.94Ti0.06O6.91,77.0,77.0
1451,Y1Ba2Cu2.91Ti0.09O6.9,74.1,74.1
1452,Y1Ba2Cu2.88Ti0.12O6.88,68.4,68.4
1453,Y0.98Ca0.02Ba2Cu4O8,87.0,87.0
1454,Pb0.5Cd0.5Sr2Tb0.6Ca0.4Cu2O7,19.0,19.0
1455,Pb0.5Cd0.5Sr2Tb0.5Ca0.5Cu2O7,19.0,19.0
1456,Sr1.75K0.25Cu1C1O5,13.0,13.0
1457,Sr1.7K0.3Cu1C1O5,16.0,16.0
1458,Sr1.6K0.4Cu1C1O5,23.0,23.0
1459,Sr1.5K0.5Cu1C1O5,20.0,20.0
1460,Sr1.4K0.6Cu1C1O5,21.0,21.0
1461,Sr1.3K0.7Cu1C1O5,20.0,20.0
1462,La1Ba2Cu3O6.89,76.0,76.0
1463,La1Ba2Cu2.95Co0.05O6.94,40.5,40.5
1464,Pb2Sr0.9La1.1Cu2O6.31,33.2,33.2
1465,Pb2Sr0.9La1.1Cu2O6.65,30.3,30.3
1466,Pb2Cu0.9La1.1Cu2O7.42,18.1,18.1
1467,Pb2Cu0.9La1.1Cu2O6.28,33.4,33.4
1468,Pb2Cu0.9La1.1Cu2O6.24,31.3,31.3
1469,Pb2Cu0.9La1.1Cu2O6.19,19.8,19.8
1470,Y1Ba1Sr1Cu3O6.899,80.2,80.2
1471,Y1Ba1Sr1Cu2.975Sn0.025O6.91,76.3,76.3
1472,Y1Ba1Sr1Cu2.9Sn0.1O7.001,68.6,68.6
1473,Y1Ba1Sr1Cu2.85Sn0.15O7.062,63.7,63.7
1474,Y1Ba1Sr1Cu2.8Sn0.2O7.122,49.3,49.3
1475,Y1Ba1Sr1Cu2.75Sn0.25O7.163,40.9,40.9
1476,Ca0.3Ba1.45La1.25Cu3O6.96,9.6,9.6
1477,Ca0.3Ba1.45La1.25Cu3O7,28.3,28.3
1478,Ca0.3Ba1.45La1.25Cu3O7.05,46.4,46.4
1479,Ca0.3Ba1.45La1.25Cu3O7.11,65.3,66.2
1480,Ca0.3Ba1.45La1.25Cu3O7.12,69.3,69.3
1481,Ca0.2Ba1.55La1.25Cu3O6.98,10.4,10.4
1482,Ca0.2Ba1.55La1.25Cu3O6.99,14.4,14.4
1483,Ca0.2Ba1.55La1.25Cu3O7.01,25.1,25.1
1484,Ca0.2Ba1.55La1.25Cu3O7.03,34.7,34.7
1485,Ca0.2Ba1.55La1.25Cu3O7.05,41.1,41.1
1486,Ca0.2Ba1.55La1.25Cu3O7.07,46.1,46.1
1487,Ca0.2Ba1.55La1.25Cu3O7.11,59.7,59.7
1488,Ca0.4Ba1.25La1.35Cu3O7.04,21.3,21.3
1489,Ca0.4Ba1.25La1.35Cu3O7.11,47.1,47.1
1490,Ca0.4Ba1.25La1.35Cu3O7.16,63.5,63.5
1491,Ca0.4Ba1.25La1.35Cu3O7.19,72.9,72.9
1492,Ca0.1Ba1.65La1.25Cu3O7.01,19.5,19.5
1493,Ca0.1Ba1.65La1.25Cu3O7.02,26.4,26.4
1494,Ca0.1Ba1.65La1.25Cu3O7.03,29.9,29.9
1495,Ca0.1Ba1.65La1.25Cu3O7.08,45.9,45.9
1496,Ca0.4Ba1.35La1.25Cu3O6.9,5.0,5.0
1497,Ca0.4Ba1.35La1.25Cu3O6.92,14.4,14.4
1498,Ca0.4Ba1.35La1.25Cu3O6.95,24.8,24.8
1499,Ca0.4Ba1.35La1.25Cu3O7.08,68.6,68.6
1500,Cu0.5S0.5Sr2Ca2Cu3O12,100.0,100.0
1501,Y0.8Ca0.2Ba2Cu3O6,24.0,24.0
1502,Y0.77Ca0.23Ba2Cu3O6,25.15,25.15
1503,Y0.75Ca0.25Ba2Cu3O6.008,34.85,34.85
1504,Hg0.5Pb0.5Ba2Ca4Cu5O12.5,110.0,110.0
1505,Hg0.9Pb0.1Ba2Ca2Cu3O8.25,118.0,118.0
1506,Hg0.8Pb0.2Ba2Ca2Cu3O8.3,125.0,125.0
1507,Hg0.7Pb0.3Ba2Ca2Cu3O8.35,130.0,130.0
1508,Hg0.6Pb0.4Ba2Ca2Cu3O8.4,120.0,120.0
1509,Hg0.5Pb0.5Ba2Ca2Cu3O8.45,103.0,103.0
1510,Y0.74Ca0.26Ba2Cu3O6,44.7,44.7
1511,Y0.72Ca0.28Ba2Cu3O6,47.5,47.5
1512,Y0.69Ca0.31Ba2Cu3O6,27.7,27.7
1513,Al1Sr2Ca2Cu3O9.3,63.0,63.0
1514,Al1Sr2Ca2Cu3O9.5,69.0,69.0
1515,Al1Sr2Ca2Cu3O9.7,72.0,72.0
1516,Al1Sr2Ca2Cu3O9.9,77.0,77.0
1517,Al1Sr2Ca2Cu3O10.1,76.0,76.0
1518,Al1Sr2Ca1.4Y0.6Cu3O9.1,14.0,14.0
1519,Ca1.9K0.1Cu1Cl2O2,18.0,18.0
1520,Ca0.85K0.15Cu1Cl2O2,24.0,24.0
1521,Ca1.8K0.2Cu1Cl2O2,24.0,24.0
1522,Ca0.75K0.25Cu1Cl2O2,24.0,24.0
1523,Ca1.7K0.3Cu1Cl2O2,24.0,24.0
1524,Y1Ba1Sr1Cu3O6.9,92.0,92.0
1525,Y0.8Pr0.2Ba1Sr1Cu3O6.9,79.4,79.4
1526,Y0.6Pr0.4Ba1Sr1Cu3O6.9,60.5,60.5
1527,Y0.5Pr0.5Ba1Sr1Cu3O6.9,36.0,36.0
1528,Y0.4Pr0.6Ba1Sr1Cu3O8.9,24.1,24.1
1529,Y0.35Pr0.65Ba1Sr1Cu3O6.9,20.3,20.3
1530,Pb2Sr2Y0.85Ca0.15Cu3O8,47.0,47.0
1531,Pb1Sr2Y0.62Ca0.38Cu3O8,71.0,71.0
1532,Pb2Sr2Y0.53Ca0.47Cu3O8,76.0,76.0
1533,Bi2Sr2Ca1Cu2O8.15,87.0,87.0
1534,Nd1Ba1Sr1Cu3O6.92,64.0,64.0
1535,Nd0.9Ca0.1Ba1Sr1Cu3O6.85,71.0,71.0
1536,Nd0.8Ca0.2Ba1Sr1Cu3O6.78,77.0,77.0
1537,Gd0.7Pr0.2Ca0.1Ba2Cu3O7,64.4,64.4
1538,Li1Ti1.91Cu0.09O4,14.4,14.4
1539,Tl1Ba2Ca1Cu2O8,105.0,105.981666666667
1540,Tl2Ba2Ca2Cu3O10,123.0,117.880769230769
1541,Tl1Ba1Sr1Ca2Cu3O9,97.0,101.0
1542,Tl1Ba2Sr1Ca2Cu3O9,92.0,92.0
1543,Y1Ba2Cu3O6.19,93.2,93.2
1544,Y1Ba2Cu3H0.14O6.91,90.95,90.95
1545,Y1Ba2Cu3H0.32O6.91,91.25,91.25
1546,Y1Ba2Cu3H1.15O6.91,76.7,76.7
1547,Y1Ba2Cu3H0.16O6.54,47.9,47.9
1548,Y1Ba2Cu3H0.31O6.54,47.3,47.3
1549,Y1Ba2Cu3H0.53O6.54,43.8,43.8
1550,Y1Ba2Cu3H0.64O6.54,42.05,42.05
1551,Y1Ba2Cu3H0.6O6.91,86.5,86.5
1552,Y1Ba2Cu3H0.69O6.91,85.7,85.7
1553,Y1Ba2Cu3H0.92O6.91,80.8,80.8
1554,Y1Ba2Cu3O6.84,88.85,82.2833333333333
1555,Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.1,48.3,48.3
1556,Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.43,64.3,65.3
1557,Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.56,82.4,81.35
1558,Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.73,68.5,68.05
1559,Yb1Ba1.6Sr0.4Cu3O6.88,80.2,80.2
1560,Yb0.9Ca0.1Ba1.6Sr0.4Cu3O6.89,62.1,62.1
1561,Yb0.8Ca0.2Ba0.8Sr0.4Cu3O6.85,35.0,35.0
1562,Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.78,24.4,36.5666666666667
1563,Y1Ba2Cu3H0.06O6.91,92.8,92.8
1564,Y1Ba2Cu3H0.27O6.91,91.1,91.1
1565,Y1Ba2Cu3H0.52O6.91,91.7,91.7
1566,Y1Ba2Cu3H0.91O6.91,91.4,91.4
1567,Gd1Ba2Cu3O6.89,92.9,92.9
1568,Gd1Ba2Cu3H0.12O6.89,84.0,84.0
1569,Gd1Ba2Cu3H0.43O6.89,82.0,82.0
1570,Gd1Ba2Cu3H1.32O6.89,78.2,78.2
1571,Y1Ba2Cu2.94Fe0.06O7,73.0,74.1
1572,Y1Ba2Cu2.94Fe0.06H0.4O7,47.0,47.0
1573,Y1Ba2Cu2.94Fe0.06H1O7,30.0,30.0
1574,Pr0.2Ca0.8Ba1La1Cu3O7.1,33.5,33.5
1575,Ca1Ba1La1Cu3O6.97,64.0,64.0
1576,C60Tb2.75,5.4,5.4
1577,Y0.4Pr0.6Ba1.25Sr0.75Cu3O6.92,17.0,17.0
1578,Y0.4Pr0.6Ba1Sr1Cu3O6.92,18.0,18.0
1579,Y0.4Pr0.6Ba0.75Sr1.25Cu3O6.92,23.0,23.0
1580,Y1Ba2Cu3O6.64,62.25,59.5333333333333
1581,Y1Ba2Cu3O6.49,59.53,48.515
1582,Sm1Ba2Cu3O6.99,90.7,90.7
1583,Sm1Ba2Cu3O6.86,91.0,91.0
1584,Sm1Ba2Cu3O6.73,44.9,44.95
1585,Sm1Ba2Cu3O6.62,34.2,34.2
1586,Sm1.05Ba1.95Cu3O6.99,88.5,88.5
1587,Sm1.15Ba1.85Cu3O7,83.0,83.0
1588,Sm1.27Ba1.73Cu3O7.05,50.1,50.05
1589,Sm1.39Ba1.61Cu3O7.07,31.8,31.8
1590,Pb2Sr2Ho0.5Ca0.5Cu3O8,75.0,75.5666666666667
1591,Tl1.2Sr2Ca0.8Cu2O6.862,60.0,60.0
1592,Y0.9Ca0.1Ba2Cu3O7,81.8,81.8
1593,Y0.9Ca0.1Ba2Cu3O6.9,88.6,88.6
1594,Y0.9Ca0.1Ba2Cu3O6.8,84.1,84.1
1595,Y0.9Ca0.1Ba2Cu3O6.6,65.3,65.3
1596,Y0.9Ca0.1Ba2Cu3O6.4,41.8,41.8
1597,Y0.8Ca0.2Ba2Cu3O7,71.6,71.6
1598,Y0.8Ca0.2Ba2Cu3O6.8,84.1,84.1
1599,Y0.8Ca0.2Ba2Cu3O6.7,76.7,76.7
1600,Y0.8Ca0.2Ba2Cu3O6.6,72.1,72.1
1601,Y0.8Ca0.2Ba2Cu3O6.4,52.6,52.6
1602,Y0.8Ca0.2Ba2Cu3O6.3,40.6,40.6
1603,Y1Ba1.9La0.1Cu3O6.9,81.8,88.4
1604,Y1Ba1.9La0.1Cu3O6.85,67.0,67.0
1605,Y1Ba1.9La0.1Cu3O6.8,57.9,57.9
1606,Y1Ba1.9La0.1Cu3O6.7,54.5,54.5
1607,Y1Ba1.9La0.1Cu3O6.6,50.6,50.6
1608,Y1Ba1.9La0.1Cu3O6.5,32.9,32.9
1609,Y1Ba1.8La0.2Cu3O6.9,61.4,61.4
1610,Y1Ba1.8La0.2Cu3O6.85,51.4,51.4
1611,Y1Ba1.8La0.2Cu3O6.8,47.2,47.2
1612,Y1Ba1.8La0.2Cu3O6.7,44.3,44.3
1613,Y1Ba1.8La0.2Cu3O6.6,28.1,28.1
1614,Y1Ba1.9La0.1Cu3O7,96.1,92.35
1615,Y1Ba1.8La0.2Cu3O7,76.3,79.05
1616,Y1Ba1.6La0.4Cu3O7,32.2,32.2
1617,Y1Ba1.5La0.5Cu3O7,0.3,0.3
1618,Y1Ba1.9Ca0.1Cu4O8,85.4,85.4
1619,Y1Ba1.926Ca0.074Cu4O8,83.3,83.3
1620,Y1Ba1.972Ca0.028Cu4O8,79.7,79.7
1621,Y1Ba1.98La0.02Cu4O8,74.3,74.3
1622,Y1Ba1.9La0.1Cu4O8,61.0,61.0
1623,Y1Ba1.87La0.13Cu4O8,61.0,61.0
1624,Y1Ba1.78La0.22Cu4O8,37.9,37.9
1625,Y1Ba1.72La0.28Cu4O8,18.9,18.9
1626,Y1Ba1.6La0.4Cu3O7.06,52.0,52.0
1627,Y1Ba1.5La0.5Cu3O7.1,30.0,30.0
1628,Y0.9Ca0.1Ba1.9La0.1Cu3O6.95,86.0,86.0
1629,Y0.9Ca0.1Ba1.8La0.2Cu3O6.97,87.0,87.0
1630,Y0.9Ca0.1Ba1.7La0.3Cu3O7.04,82.0,82.0
1631,Y0.9Ca0.1Ba1.6La0.4Cu3O7.09,72.0,72.0
1632,Y0.9Ca0.1Ba1.5La0.5Cu3O7.13,60.0,60.0
1633,Y0.9Ca0.1Ba1.6La6Cu3O7.18,43.0,43.0
1634,Y0.8Ca0.2Ba1.8La0.2Cu3O6.94,84.0,84.0
1635,Y0.8Ca0.2Ba1.5La0.5Cu3O7.11,80.0,80.0
1636,Y0.8Ca0.2Ba1.4La0.6Cu3O7.15,66.0,66.0
1637,Y0.7Ca0.3Ba1.7La0.3Cu3O6.92,82.0,82.0
1638,Y0.7Ca0.3Ba1.4La0.6Cu3O7.12,82.0,82.0
1639,Y0.7Ca0.3Ba1.3La0.7Cu3O7.16,73.0,73.0
1640,Y0.6Ca0.4Ba1.6La0.4Cu3O6.95,82.0,82.0
1641,Y0.6Ca0.4Ba1.4La0.6Cu3O7.07,83.0,83.0
1642,Y0.6Ca0.4Ba1.3La0.7Cu3O7.12,82.0,82.0
1643,Y0.6Ca0.4Ba1.2La0.8Cu3O7.15,67.0,67.0
1644,Y0.6Ca0.4Ba1.1La0.9Cu3O7.18,47.0,47.0
1645,Y0.5Ca0.5Ba1.5La0.5Cu3O6.94,82.0,82.0
1646,Y0.5Ca0.5Ba1.2La0.8Cu3O7.12,82.0,82.0
1647,Y0.5Ca0.5Ba1.1La0.9Cu3O7.15,70.0,70.0
1648,Y0.4Cu0.6Ba1.4La0.6Cu3O6.95,81.0,81.0
1649,Y0.4Cu0.6Ba1.3La0.7Cu3O7,82.0,82.0
1650,Y0.4Ca0.6Ba1.2La0.8Cu3O7.07,82.0,82.0
1651,Y0.4Ca0.6Ba1.1La0.9Cu3O7.12,82.0,82.0
1652,La1Ba1.87Ca0.13Cu3O6.923,82.0,82.0
1653,La1Ba1.75Ca0.25Cu3O6.951,80.0,80.0
1654,La1Ba1.5Ca0.5Cu3O6.96,79.9,79.9
1655,La1Ba1.25Ca0.75Cu3O6.958,79.9,79.9
1656,Y1Ba2Cu3O6.939,91.8,91.8
1657,Y1Ba1.75Sr0.25Cu3O6.928,89.6,89.6
1658,Y1Ba1.5Sr0.5Cu3O6.938,87.6,87.6
1659,Y1Ba1.25Sr0.75Cu3O6.928,85.5,85.5
1660,Y1Ba1Sr1Cu3O6.947,83.3,83.3
1661,La1Ba1.75Sr0.25Cu3O6.946,72.5,72.5
1662,La1Ba1.5Sr0.5Cu3O6.967,65.2,65.2
1663,La1Ba1.25Sr0.75Cu3O6.996,54.1,54.1
1664,La1Ba1Sr1Cu3O7.01,41.5,41.5
1665,Y0.9Ca0.1Ba2Cu3O6.3,28.1,28.1
1666,Nd1.3Ba1.5Ca0.2Cu3O6.952,36.0,36.0
1667,Nd1.2Ba1.6Ca0.2Cu3O6.929,51.0,51.0
1668,Nd1.1Ba1.7Ca0.2Cu3O6.894,65.0,65.0
1669,Nd1Ba1.8Ca0.2Cu3O6.866,73.0,73.0
1670,Nd1.3Ba1.3Ca0.4Cu3O6.912,13.0,13.0
1671,Nd1.2Ba1.4Ca0.4Cu3O6.888,40.0,40.0
1672,Nd1.1Ba1.5Ca0.4Cu3O6.864,54.0,54.0
1673,Nd1Ba1.6Ca0.4Cu3O6.828,65.0,65.0
1674,Nd0.9Ba1.7Ca0.4Cu3O6.801,72.0,72.0
1675,Nd1.1Ba1.7Sr0.2Cu3O6.858,70.0,70.0
1676,Nd1Ba1.8Sr0.2Cu3O6.927,82.0,82.0
1677,Nd1.3Ba1.3Sr0.4O6.828,35.0,35.0
1678,Nd1.2Ba1.4Sr0.4Cu3O6.789,41.0,41.0
1679,Nd1.2Ba1.4Sr0.4Cu3O6.731,65.0,65.0
1680,Nd1Ba1.6Sr0.4Cu3O6.721,78.5,78.5
1681,Nd0.9Ba1.7Sr0.4Cu3O6.666,82.0,82.0
1682,Nd1.3Ba1.5Sr0.2Cu3O6.917,36.0,36.0
1683,Nd1.2Ba1.6Sr0.2Cu3O6.885,45.0,45.0
1684,Nd1.3Ba1.7Cu3O6.987,33.0,33.0
1685,Nd1.2Ba1.8Cu3O6.954,50.0,50.0
1686,Nd1.1Ba1.9Cu3O6.935,76.0,76.0
1687,Y1Ba2Cu3.99Ni0.01O8,78.4,78.4
1688,Y1Ba2Cu3.99Zn0.01O8,73.3,73.3
1689,Y1Ba2Cu3.956Zn0.044O8,56.8,56.8
1690,Er1Ba2Cu3O6.953,90.9,90.9
1691,Er0.95Hf0.05Ba2Cu3O6.938,86.0,86.0
1692,Er0.9Hf0.1Ba2Cu3O6.862,82.9,82.9
1693,Er0.85Hf0.15Ba2Cu3O6.813,79.9,79.9
1694,Er0.8Hf0.2Ba2Cu3O6.772,78.8,78.8
1695,Er0.8Ca0.05Hf0.15Ba2Cu3O6.706,64.8,64.8
1696,Er0.75Ca0.1Hf0.15Ba2Cu3O6.796,73.6,73.6
1697,Er0.7Ca0.15Hf0.15Ba2Cu3O6.821,77.3,77.3
1698,Er0.65Ca0.2Hf0.15Ba2Cu3O6.83,80.9,80.9
1699,Er0.6Ca0.25Hf0.15Ba2Cu3O7.02,84.7,84.7
1700,Er0.55Ca0.3Hf0.15Ba2Cu3O7.05,72.2,72.2
1701,Er0.45Ca0.4Hf0.15Ba2Cu3O7.1,66.0,66.0
1702,Y1Sr2Cu2.8Re2O7,42.0,42.0
1703,Y1Sr2Cu2.8Re0.2O7,55.0,55.0
1704,Y0.25Pr0.75Sr2Cu2.8Re0.2O7,14.0,14.0
1705,La2.5Ca1Ba2.5Cu6O14.146,79.0,79.0
1706,La2.4Ca1.2Ba2.4Cu6O14.082,79.0,79.0
1707,La2.375Ca1.25Ba2.375Cu6O14.062,78.0,78.0
1708,La2.25Ca1.5Ba2.25Cu6O13.93,74.0,74.0
1709,La2Ca2Ba2Cu3O13.712,76.0,76.0
1710,La2.85Ca0.3Ba2.85Cu6O14.252,22.0,22.0
1711,La2.77Ca0.46Ba2.77Cu6O14.246,42.0,42.0
1712,La2.7Ca0.6Ba2.7Cu6O14.186,74.0,74.0
1713,La2.57Ca0.86Ba2.57Cu6O14.2,80.0,80.0
1714,Ho1Ba2Cu3O6.87,92.3,92.3
1715,Ho1Ba2Cu3O6.96,91.8,91.8
1716,Nd1Ba1.5Sr0.5Cu3O6.91,83.0,77.0
1717,Y0.8Ca0.2Ba2Cu3O6.86,79.0,79.0
1718,Y0.7Ca0.3Ba2Cu3O6.78,78.0,78.0
1719,Gd1Ba1.5Sr0.5Cu3O6.73,50.0,50.0
1720,Y0.95Pr0.05Ba2Cu3O6.85,85.5,85.5
1721,Y0.9Pr0.1Ba2Cu3O6.82,82.0,82.0
1722,Y0.85Pr0.15Ba2Cu3O6.84,75.0,75.0
1723,Y0.8Pr0.2Ba2Cu3O6.81,68.0,68.0
1724,Y0.95Ca0.05Ba2Cu3O6.79,88.0,88.0
1725,Y0.9Ca0.1Ba2Cu3O6.67,82.0,82.0
1726,Y0.85Ca0.15Ba2Cu3O6.65,83.0,83.0
1727,Y0.8Ca0.2Ba2Cu3O6.64,81.0,81.0
1728,Y0.8Pr0.05Ca0.15Ba2Cu3O6.83,87.0,87.0
1729,Y0.8Pr0.15Ca0.05Ba2Cu3O6.82,80.0,80.0
1730,Y0.9Pr0.1Ba2Cu3O6.97,88.1,88.1
1731,Y0.85Pr0.15Ba2Cu3O6.97,81.8,81.8
1732,Y0.7Pr0.3Ba2Cu3O6.97,59.3,59.3
1733,Y0.47Pr0.53Ba2Cu3O6.96,13.5,13.5
1734,Y0.44Pr0.56Ba2Cu3O6.93,2.1,2.1
1735,Y0.9Pr0.1Ba2Cu3O6.98,85.9,85.9
1736,Y0.85Pr0.15Ba2Cu3O6.98,79.2,79.2
1737,Y0.8Pr0.2Ba2Cu3O6.98,72.6,72.6
1738,Y0.7Pr0.3Ba2Cu3O6.98,57.4,57.4
1739,Y0.6Pr0.4Ba2Cu3O6.98,42.8,44.1
1740,Y0.55Pr0.45Ba2Cu3O6.98,33.6,33.6
1741,Y0.5Pr0.5Ba2Cu3O6.98,21.9,21.9
1742,Y0.45Pr0.55Ba2Cu3O6.98,10.1,10.1
1743,Y0.9Pr0.1Ba2Cu3O6.8,65.6,65.6
1744,Y0.85Pr0.15Ba2Cu3O6.8,59.0,59.0
1745,Y0.8Pr0.2Ba2Cu3O6.8,56.1,56.1
1746,Y0.6Pr0.4Ba2Cu3O6.8,33.9,33.9
1747,Y0.55Pr0.45Ba2Cu3O6.8,23.5,23.5
1748,Y0.9Pr0.1Ba2Cu3O6.65,56.1,56.1
1749,Y0.85Pr0.15Ba2Cu3O6.65,52.9,52.9
1750,Y0.8Pr0.2Ba2Cu3O6.65,51.7,51.7
1751,Y0.7Pr0.3Ba2Cu3O6.65,46.0,46.0
1752,Y0.6Pr0.4Ba2Cu3O6.65,38.0,38.0
1753,Y0.55Pr0.45Ba2Cu3O6.65,30.7,30.7
1754,Y0.5Pr0.5Ba2Cu3O6.65,18.7,18.7
